sep=	
time (kilde1)	z	time (kilde1)	time	time (kilde1)	strength
0.313	968	0.318	200553	0.043	968
0.326	960	0.325	200577	0.059	976
0.343	968	0.343	200600	0.064	972
0.351	976	0.354	200624	0.067	972
0.364	972	0.359	200648	0.074	964
0.367	972	0.369	200697	0.077	972
0.368	964	0.372	200726	0.082	968
0.377	972	0.385	200749	0.115	972
0.379	968	0.417	200780	0.143	968
0.415	972	0.442	200803	0.161	972
0.441	968	0.461	200827	0.189	964
0.458	972	0.509	200875	0.209	972
0.479	964	0.534	200899	0.233	972
0.507	972	0.552	200924	0.256	964
0.527	972	0.587	200952	0.29	964
0.582	964	0.61	200976	0.311	968
0.607	968	0.635	201001	0.36	968
0.63	964	0.66	201025	0.383	972
0.657	968	0.683	201048	0.412	976
0.678	972	0.716	201077	0.44	968
0.707	976	0.738	201103	0.466	972
0.732	968	0.767	201132	0.491	980
0.761	972	0.791	201156	0.515	976
0.789	980	0.816	201179	0.545	968
0.81	976	0.849	201204	0.564	976
0.834	968	0.866	201227	0.589	972
0.86	976	0.887	201251	0.611	968
0.881	972	0.91	201275	0.639	964
0.907	968	0.935	201299	0.659	968
0.929	964	0.959	201324	0.689	972
0.957	976	0.989	201353	0.713	968
0.983	972	1.016	201382	0.749	972
1.007	968	1.05	201407	0.772	964
1.047	972	1.068	201431	0.791	972
1.062	964	1.091	201454	0.815	968
1.09	972	1.117	201478	0.839	972
1.11	968	1.139	201502	0.863	972
1.134	972	1.166	201527	0.893	976
1.158	964	1.193	201556	0.922	972
1.19	976	1.222	201580	0.942	972
1.212	972	1.241	201603	0.965	972
1.241	972	1.267	201628	0.991	964
1.26	980	1.29	201652	1.013	960
1.289	964	1.317	201675	1.043	976
1.307	960	1.343	201705	1.066	968
1.341	976	1.368	201730	1.096	968
1.361	972	1.4	201759	1.126	972
1.392	968	1.426	201783	1.145	976
1.423	972	1.449	201806	1.172	968
1.441	976	1.469	201831	1.194	972
1.463	972	1.493	201855	1.221	972
1.49	972	1.517	201878	1.241	980
1.511	972	1.541	201902	1.265	968
1.54	980	1.566	201926	1.29	972
1.559	968	1.589	201950	1.314	968
1.583	972	1.616	201975	1.348	960
1.608	968	1.65	202009	1.374	972
1.643	960	1.674	202034	1.398	964
1.673	972	1.699	202058	1.422	968
1.693	964	1.721	202081	1.445	968
1.716	968	1.75	202105	1.473	968
1.74	968	1.769	202129	1.498	968
1.764	968	1.799	202153	1.522	968
1.79	968	1.818	202178	1.547	972
1.812	968	1.85	202207	1.572	968
1.842	972	1.87	202230	1.595	972
1.865	968	1.899	202254	1.623	964
1.89	972	1.92	202279	1.643	972
1.915	964	1.943	202308	1.673	972
1.94	972	1.973	202332	1.705	972
1.972	972	2.002	202356	1.723	976
1.997	972	2.022	202381	1.756	980
2.017	976	2.052	202410	1.775	968
2.045	980	2.075	202433	1.799	968
2.073	968	2.101	202457	1.825	972
2.093	968	2.124	202482	1.848	972
2.123	972	2.15	202506	1.873	968
2.142	972	2.182	202529	1.895	968
2.165	968	2.2	202553	1.922	968
2.192	968	2.219	202577	1.943	976
2.213	968	2.243	202601	1.973	968
2.241	976	2.273	202631	1.997	972
2.27	968	2.3	202654	2.022	972
2.292	972	2.321	202678	2.045	968
2.315	972	2.349	202702	2.074	980
2.34	968	2.374	202726	2.093	972
2.372	980	2.399	202750	2.122	968
2.39	972	2.418	202774	2.141	976
2.412	968	2.441	202798	2.165	968
2.439	976	2.466	202822	2.191	972
2.46	968	2.49	202847	2.221	976
2.489	972	2.519	202875	2.242	976
2.513	976	2.581	202929	2.277	968
2.54	976	2.6	202953	2.297	952
2.572	972	2.62	202977	2.322	972
2.592	952	2.649	203001	2.345	968
2.616	972	2.669	203025	2.372	972
2.64	968	2.698	203050	2.393	968
2.664	972	2.723	203078	2.424	976
2.689	968	2.752	203102	2.447	972
2.722	976	2.771	203126	2.472	972
2.741	972	2.799	203151	2.496	972
2.765	972	2.82	203175	2.521	968
2.791	972	2.847	203204	2.543	960
2.814	968	2.873	203233	2.574	976
2.873	976	2.903	203258	2.606	972
2.897	972	2.933	203281	2.627	972
2.922	972	2.956	203305	2.656	968
2.946	968	2.975	203329	2.675	976
2.973	976	3.001	203354	2.705	968
2.994	968	3.023	203377	2.725	976
3.023	976	3.048	203401	2.747	964
3.041	964	3.07	203425	2.772	976
3.066	976	3.099	203449	2.795	972
3.089	972	3.119	203473	2.822	972
3.114	972	3.15	203497	2.854	968
3.143	968	3.173	203526	2.874	968
3.173	968	3.204	203557	2.905	968
3.199	968	3.232	203581	2.928	964
3.223	964	3.251	203604	2.955	972
3.245	972	3.275	203628	2.975	972
3.273	972	3.3	203652	3.004	968
3.294	968	3.332	203676	3.024	968
3.322	968	3.35	203700	3.053	964
3.343	964	3.382	203729	3.077	976
3.372	976	3.402	203753	3.105	972
3.395	972	3.425	203777	3.125	953
3.422	952	3.45	203802	3.154	936
3.444	936	3.473	203826	3.175	987
3.473	984	3.508	203861	3.208	1052
3.504	1144	3.539	203886	3.239	952
3.528	952	3.566	203914	3.263	907
3.558	900	3.587	203938	3.289	957
3.582	944	3.615	203963	3.312	868
3.608	824	3.636	203987	3.338	833
3.631	780	3.664	204010	3.359	818
3.656	768	3.685	204034	3.387	1012
3.677	984	3.707	204058	3.407	1169
3.705	1148	3.736	204082	3.439	1260
3.731	1244	3.755	204107	3.457	993
3.756	984	3.785	204135	3.488	975
3.78	968	3.808	204164	3.508	1000
3.806	996	3.84	204190	3.539	953
3.837	948	3.868	204213	3.563	950
3.858	944	3.888	204237	3.589	959
3.881	952	3.917	204261	3.611	956
3.906	944	3.935	204285	3.638	970
3.929	948	3.965	204310	3.66	829
3.956	804	3.988	204338	3.691	778
3.989	752	4.015	204362	3.713	802
4.008	776	4.037	204386	3.74	882
4.032	852	4.065	204411	3.762	836
4.056	804	4.087	204435	3.788	832
4.081	804	4.138	204488	3.813	860
4.106	832	4.166	204513	3.839	872
4.136	844	4.199	204542	3.864	862
4.159	836	4.218	204565	3.893	852
4.188	824	4.241	204589	3.921	853
4.211	824	4.267	204614	3.941	819
4.239	784	4.289	204638	3.971	778
4.26	740	4.319	204661	3.991	861
4.289	820	4.337	204685	4.021	874
4.313	836	4.366	204709	4.04	841
4.338	804	4.385	204734	4.061	850
4.355	808	4.417	204762	4.088	990
4.38	880	4.449	204791	4.122	940
4.41	912	4.47	204817	4.144	891
4.441	856	4.522	204864	4.173	1060
4.464	1036	4.541	204888	4.194	1118
4.49	1096	4.589	204937	4.222	849
4.519	832	4.62	204966	4.243	675
4.541	656	4.65	204989	4.272	752
4.559	732	4.669	205013	4.29	1126
4.589	960	4.691	205038	4.323	1051
4.614	1024	4.721	205062	4.343	988
4.639	968	4.74	205090	4.373	1001
4.661	984	4.769	205115	4.392	1023
4.69	1000	4.799	205140	4.421	981
4.719	968	4.823	205169	4.441	988
4.74	976	4.851	205192	4.472	1020
4.764	1012	4.87	205216	4.492	1032
4.789	1020	4.9	205241	4.524	1041
4.823	1032	4.921	205265	4.547	1056
4.841	1044	4.949	205288	4.574	1075
4.872	1064	4.968	205312	4.595	979
4.89	1068	4.991	205336	4.624	946
