sep=	
time (source1)	x	time (source1)	y	time (source1)	z	time (source1)	time	time (source1)	str
0	40	0	-120	0	948	0	45303	0	990
0.099	8	0.098	-112	0.096	984	0.102	45404	0.105	998
0.203	28	0.197	-108	0.2	992	0.204	45506	0.206	1001
0.304	12	0.303	-104	0.301	996	0.306	45608	0.296	993
0.404	20	0.505	-120	0.503	992	0.395	45708	0.408	999
0.511	20	0.606	-104	0.604	984	0.512	45811	0.508	989
0.612	20	0.706	-108	0.709	980	0.613	45911	0.614	986
0.712	12	0.816	-88	0.814	1000	0.714	46013	0.719	1004
0.812	24	0.912	-100	0.91	1004	0.819	46115	0.817	1009
0.918	16	1.015	-128	1.012	988	0.915	46216	0.918	996
1.02	0	1.115	-100	1.113	980	1.017	46318	1.023	985
1.121	28	1.225	-108	1.223	1000	1.122	46420	1.128	1010
1.226	20	1.325	-108	1.323	992	1.227	46527	1.228	998
1.326	24	1.423	-108	1.42	1000	1.332	46623	1.325	1006
1.428	36	1.526	-104	1.525	1012	1.43	46724	1.429	1018
1.529	44	1.626	-108	1.625	968	1.528	46826	1.53	974
1.632	12	1.728	-100	1.726	992	1.629	46927	1.631	990
1.734	8	1.834	-108	1.833	1032	1.735	47030	1.738	1038
1.835	8	1.932	-76	1.929	952	1.842	47132	1.84	955
1.936	24	2.032	212	2.035	-396	1.938	47233	1.941	453
2.038	-32	2.137	44	2.135	36	2.039	47340	2.045	61
2.143	24	2.34	-36	2.23	64	2.144	47436	2.14	64
2.243	-4	2.442	-56	2.338	84	2.352	47640	2.253	92
2.345	-12	2.548	-288	2.442	108	2.452	47741	2.346	125
2.447	-32	2.645	-116	2.547	148	2.552	47843	2.452	327
2.548	48	2.75	0	2.648	216	2.652	47945	2.553	246
2.651	24	2.85	92	2.748	224	2.752	48045	2.653	224
2.751	-16	2.95	104	2.848	300	2.862	48152	2.763	314
2.856	24	3.055	-48	2.953	384	2.957	48248	2.858	398
2.956	-24	3.155	-96	3.053	512	3.057	48350	2.958	514
3.056	-16	3.26	-164	3.153	524	3.162	48452	3.063	532
3.161	12	3.361	476	3.258	492	3.262	48553	3.163	518
3.261	0	3.465	-64	3.36	1020	3.37	48655	3.27	1930
3.368	1568	3.565	-64	3.462	-64	3.467	48756	3.368	94
3.465	-28	3.667	-2024	3.563	-32	3.569	48858	3.469	78
3.566	-32	3.77	-24	3.667	2040	3.671	48960	3.572	3524
3.668	-2040	4.075	-416	4.169	880	3.769	49061	3.669	246
3.77	-100	4.171	-376	4.588	1160	4.071	49367	3.972	1551
4.078	292	4.591	20	4.685	956	4.367	49672	4.079	988
4.489	72	4.687	-24	4.787	952	4.477	49774	4.166	765
4.596	0	4.79	16	4.897	980	4.597	49880	4.378	953
4.693	144	4.894	64	5.084	984	4.69	49977	4.498	1160
4.795	60	4.985	72	5.695	988	4.795	50078	4.592	967
