sep=	
time (source1)	x	time (source1)	y	time (source1)	z	time (source1)	str	time (source1)	time
0	-16	0	-48	0	988	0	989	0	43238
0.107	-28	0.099	-48	0.103	992	0.107	993	0.107	43335
0.202	-28	0.199	-56	0.198	1008	0.202	1009	0.202	43436
0.407	-24	0.294	-84	0.293	992	0.297	995	0.302	43538
0.507	-28	0.399	-56	0.403	984	0.407	985	0.407	43640
0.612	-16	0.504	-32	0.503	984	0.507	984	0.507	43740
0.712	-12	0.604	-68	0.608	1012	0.617	1014	0.617	43842
0.812	-24	0.704	-52	0.708	992	0.712	993	0.712	43944
0.917	-20	0.809	-44	0.809	996	0.812	997	0.812	44050
1.021	-24	0.909	-84	0.913	996	0.917	999	0.917	44147
1.123	-4	1.014	-72	1.012	1000	1.016	1002	1.021	44248
1.224	-36	1.116	-92	1.12	1020	1.124	1024	1.124	44350
1.322	-32	1.217	-80	1.217	972	1.221	975	1.221	44452
1.427	-12	1.319	-40	1.318	988	1.322	989	1.327	44553
1.534	-16	1.419	-116	1.424	1004	1.428	1010	1.429	44655
1.631	-20	1.522	-68	1.528	1000	1.532	1002	1.527	44756
1.732	-16	1.623	-76	1.632	992	1.636	1007	1.64	44864
1.834	-24	1.726	-96	1.725	980	1.734	982	1.736	44961
1.939	0	1.825	-92	1.83	1000	1.834	1004	1.834	45062
2.04	-12	1.931	-84	1.93	992	1.939	995	1.939	45164
2.142	-32	2.034	-56	2.034	996	2.037	997	2.043	45266
2.242	-16	2.134	-20	2.143	1000	2.147	1000	2.147	45367
2.347	4	2.239	-100	2.238	976	2.242	981	2.243	45469
2.448	4	2.342	-116	2.341	984	2.345	990	2.347	45570
2.548	-24	2.442	-84	2.443	1008	2.446	1011	2.446	45672
2.649	-16	2.541	-64	2.545	996	2.549	998	2.549	45773
2.754	-20	2.646	-100	2.65	996	2.654	1001	2.654	45874
2.858	16	2.748	-24	2.746	1012	2.751	1012	2.752	45976
2.96	4	2.85	32	2.85	1012	2.854	1012	2.854	46077
3.06	-12	2.951	-176	2.95	980	2.954	995	2.959	46179
3.16	-16	3.051	-84	3.055	1000	3.059	1003	3.059	46281
3.261	8	3.157	-48	3.161	988	3.166	989	3.165	46382
3.369	8	3.258	-80	3.259	996	3.262	999	3.263	46484
3.467	-20	3.367	-104	3.367	1008	3.371	1011	3.371	46592
7.446	-80	3.459	-44	3.463	996	3.468	997	3.47	46687
7.544	-52	7.447	-20	7.445	1000	7.449	1003	7.449	50650
7.649	-64	7.541	-36	7.54	1008	7.544	1010	7.549	50758
7.75	-40	7.641	-32	7.645	1024	7.65	1026	7.65	50853
7.85	-56	7.742	-36	7.845	992	7.745	1001	7.745	50955
7.955	-60	7.847	-24	7.956	1012	7.85	993	7.855	51056
8.056	-72	7.948	-28	8.052	1020	7.96	1014	7.961	51158
8.158	-52	8.048	-20	8.154	980	8.058	1042	8.058	51261
8.363	108	8.15	-24	8.251	976	8.16	981	8.161	51362
8.464	12	8.251	-4	8.355	936	8.257	977	8.257	51464
8.566	20	8.464	12	8.462	4	8.359	945	8.359	51571
8.671	0	8.563	28	8.562	60	8.466	17	8.466	51667
8.772	28	8.665	32	8.663	52	8.566	69	8.669	51870
8.873	64	8.764	-8	8.768	96	8.668	61	8.773	51972
8.977	132	8.866	-108	8.87	44	8.773	100	8.874	52074
9.083	44	8.969	-204	8.967	148	8.874	133	8.977	52174
9.179	40	9.075	-168	9.076	272	8.972	284	9.084	52276
9.279	-64	9.171	-4	9.175	304	9.079	322	9.179	52383
9.385	-160	9.276	40	9.275	364	9.179	306	9.279	52479
9.486	-20	9.376	-80	9.375	496	9.279	371	9.385	52581
9.593	-136	9.477	-116	9.484	536	9.384	527	9.483	52682
9.689	-32	9.585	-116	9.585	464	9.483	548	9.594	52784
9.791	-24	9.682	-80	9.686	520	9.589	497	9.691	52885
9.894	36	9.783	456	9.788	-204	9.691	527	9.794	52987
9.995	-32	9.886	-52	9.886	-40	9.793	500	9.895	53089
10.103	60	9.986	-36	9.991	8	9.89	74	9.996	53190
10.201	2040	10.095	-212	10.094	-484	9.995	48	10.104	53292
10.302	-2028	10.192	2040	10.192	2040	10.104	531	10.201	53394
10.403	-152	10.292	2040	10.292	1016	10.195	3466	10.302	53496
10.504	-140	10.395	64	10.399	-544	10.301	1399	10.404	53598
10.613	-216	10.501	-548	10.502	636	10.403	648	10.507	53699
10.709	448	10.607	-564	10.605	728	10.507	851	10.614	53801
10.879	232	10.701	-252	10.705	1012	10.614	945	10.709	53903
10.982	124	10.871	-176	10.87	952	10.709	1135	10.875	54003
11.079	116	10.98	-12	10.979	1032	10.875	995	11.074	54207
11.185	116	11.076	-20	11.18	984	10.984	1039	11.189	54308
11.286	112	11.176	-48	11.277	992	11.074	1014	11.287	54410
11.387	112	11.278	-36	11.385	992	11.19	991	11.391	54511
11.491	120	11.378	-44	11.483	988	11.287	998	11.492	54613
11.592	116	11.483	-44	11.583	980	11.384	999	11.594	54715
11.695	108	11.584	-40	11.691	988	11.485	996	11.702	54816
11.796	120	11.687	-32	11.788	984	11.592	987	11.797	54924
11.895	104	11.789	-64	11.893	984	11.695	994	11.897	55021
11.998	116	11.894	-44	11.991	984	11.792	994	12.003	55122
12.103	112	11.992	-48	12.094	992	11.897	991	12.105	55224
12.206	116	12.095	-36	12.202	988	12.001	991	12.207	55325
