sep="\t" (tab)
time (source1)	x	time (source1)	y	time (source1)	z	time (source1)	str	time (source1)	time
0	76	0	96	0	1004	0	1011	0	315013
0.181	28	0.075	112	0.079	1012	0.08	1020	0.09	315114
0.282	-72	0.179	128	0.185	1008	0.191	1016	0.196	315215
0.384	-108	0.283	20	0.288	932	0.289	934	0.295	315317
0.484	-132	0.383	28	0.388	924	0.395	930	0.399	315418
0.589	-104	0.484	4	0.493	980	0.494	988	0.499	315525
0.69	-140	0.588	44	0.593	1004	0.594	1010	0.609	315622
0.818	-84	0.689	0	0.695	980	0.7	989	0.705	315723
0.894	-116	0.817	44	0.817	996	0.82	1000	0.82	315825
0.994	-88	0.893	32	0.898	988	0.904	995	0.909	315926
1.1	-64	0.999	20	1.004	1008	1.004	1012	1.01	316028
1.202	-36	1.099	64	1.105	992	1.104	996	1.117	316130
1.302	-44	1.199	68	1.206	988	1.206	990	1.217	316231
1.402	-12	1.3	60	1.311	988	1.311	986	1.317	316334
1.505	24	1.406	80	1.41	996	1.411	998	1.417	316436
1.611	-56	1.509	4	1.515	984	1.517	984	1.52	316538
1.713	-20	1.61	40	1.617	984	1.618	986	1.628	316639
1.815	-24	1.713	20	1.717	992	1.721	992	1.73	316741
1.915	-16	1.817	24	1.921	988	1.818	996	1.822	316843
2.017	-24	1.915	32	2.023	984	1.922	988	1.932	316944
2.233	668	2.018	40	2.118	1000	2.024	985	2.034	317046
2.324	640	2.113	-216	2.238	1024	2.124	1023	2.129	317148
3.242	-20	2.233	24	2.328	308	2.239	1222	2.244	317254
3.342	16	2.323	-356	3.245	1004	2.329	794	2.339	317350
3.442	-16	3.241	56	3.34	988	3.246	1005	3.257	318265
3.544	-24	3.446	20	3.45	1000	3.346	989	3.352	318367
3.647	12	3.55	4	3.555	996	3.656	984	3.561	318571
3.752	52	3.651	20	3.656	984	4.053	998	3.662	318672
3.854	60	3.75	-24	3.757	1000	4.676	1000	3.759	318774
3.954	56	3.852	-72	3.952	988	4.786	995	3.854	318881
4.671	64	4.67	-64	4.053	996	4.883	1002	3.959	318977
4.77	56	4.77	-60	4.675	996	4.984	992	4.68	319688
4.87	48	4.876	-44	4.78	992	5.086	999	4.791	319789
4.974	60	4.973	-68	4.877	1000	5.187	991	4.887	319891
5.075	68	5.079	-40	4.983	988	5.294	998	4.989	319992
5.176	44	5.181	-64	5.084	996	5.388	999	5.091	320094
5.278	56	5.282	-40	5.186	988	5.494	997	5.192	320196
5.384	48	5.383	-64	5.292	996	5.6	995	5.298	320297
5.484	68	5.483	-76	5.387	996	5.7	999	5.399	320399
5.589	64	5.592	-44	5.492	992	5.804	992	5.498	320501
5.688	72	5.689	-60	5.597	992	5.993	993	5.603	320608
5.789	52	5.792	-64	5.692	992	6.104	991	5.703	320705
5.894	76	5.892	-56	5.802	988	6.209	984	5.808	320806
6.099	68	6.097	-44	5.898	988	6.309	992	5.898	320908
6.199	56	6.198	-80	5.993	988	6.409	997	5.998	321010
6.3	68	6.299	-64	6.102	988	6.514	993	6.114	321111
6.404	76	6.404	-76	6.208	980	6.615	1003	6.213	321213
6.504	80	6.504	-64	6.308	988	6.717	995	6.314	321313
6.605	48	6.608	-72	6.408	992	6.926	993	6.419	321421
6.71	108	6.708	-60	6.514	988	7.017	991	6.519	321518
6.811	104	6.81	-56	6.614	1000	7.124	991	6.62	321618
6.916	68	6.92	-76	6.715	988	7.226	991	6.72	321720
7.012	64	7.118	-72	6.814	996	7.431	988	6.82	321822
7.117	48	7.22	-60	6.924	988	7.534	995	6.932	321923
7.216	76	7.321	-84	7.016	988	7.634	998	7.021	322025
7.322	72	7.421	-40	7.123	988	7.8	992	7.132	322126
7.422	80	7.527	-64	7.225	1000	7.904	996	7.231	322234
7.523	60	7.628	-80	7.431	984	8.011	988	7.321	322330
7.624	76	7.788	-76	7.533	992	8.108	996	7.442	322431
7.895	76	7.898	-48	7.633	992	8.203	995	7.539	322533
8	68	7.999	-72	7.793	988	36.939	991	7.639	322634
8.103	60	8.101	-68	7.904	992	37.044	1020	7.805	322737
8.204	56	36.932	-108	8.005	984	37.143	1028	7.909	322839
36.928	60	37.033	-112	8.107	992	37.243	1028	8.017	322941
37.034	92	37.132	-120	8.202	992	37.346	988	8.208	323143
37.134	72	37.237	-144	36.938	984	37.452	980	36.944	351700
37.233	72	37.34	-100	37.038	1004	37.552	988	37.054	351803
37.336	80	37.44	-100	37.142	1016	37.652	1004	37.148	351904
37.441	76	37.541	-108	37.242	1016	37.756	1012	37.248	352006
37.542	68	37.646	-112	37.346	980	37.856	1012	37.456	352209
37.646	68	37.747	-120	37.445	972	37.959	975	37.561	352316
37.747	56	37.851	-116	37.551	980	38.06	1008	37.662	352412
37.847	68	37.95	-108	37.65	996	38.161	998	37.762	352514
37.952	60	38.053	-112	37.756	1004	38.262	997	37.862	352616
38.05	72	38.154	-116	37.856	1004	38.369	1000	37.97	352717
38.156	84	38.257	-104	37.956	968	38.47	1003	38.07	352818
38.257	84	38.358	-104	38.058	1000	38.576	965	38.172	352920
38.359	84	38.458	-132	38.159	988	38.671	928	38.274	353021
38.46	68	38.565	-104	38.262	988	38.776	543	38.375	353128
38.56	88	38.665	-108	38.363	992	38.876	135	38.476	353224
38.666	64	38.766	-388	38.468	992	38.971	146	38.581	353326
38.767	164	38.871	-128	38.571	956	39.081	94	38.676	353428
38.867	40	38.965	-132	38.671	920	39.184	122	38.782	353529
39.071	20	39.071	-28	38.771	344	39.283	262	38.881	353631
39.173	8	39.178	20	38.875	16	39.385	217	38.976	353732
