sep=	
time (kilde1)	x	time (kilde1)	y	time (kilde1)	z	time (kilde1)	time
0	-88	0	224	0	-1040	0	1120
0.028	-64	0.025	212	0.023	-1068	0.032	1144
0.056	-24	0.054	216	0.042	-1020	0.064	1175
0.088	-108	0.121	220	0.074	-1024	0.089	1203
0.111	-136	0.156	220	0.101	-1024	0.115	1234
0.137	-92	0.187	220	0.126	-1032	0.149	1263
0.161	-56	0.216	220	0.154	-1056	0.173	1287
0.19	-76	0.305	200	0.183	-1068	0.2	1311
0.221	-84	0.333	128	0.233	-1012	0.225	1336
0.252	-64	0.356	256	0.256	-1032	0.251	1365
0.285	-64	0.413	320	0.299	-1012	0.281	1395
0.31	-108	0.434	244	0.349	-1016	0.314	1430
0.336	-104	0.498	108	0.387	-984	0.348	1454
0.36	-88	0.522	288	0.423	-948	0.371	1479
0.389	-56	0.549	236	0.454	-984	0.418	1532
0.418	-68	0.581	264	0.476	-1204	0.447	1556
0.444	-80	0.703	112	0.516	-1156	0.472	1586
0.475	-56	0.733	16	0.537	-904	0.497	1615
0.501	-28	0.765	-40	0.6	-1004	0.52	1640
0.521	92	0.798	-80	0.621	-1208	0.556	1669
0.553	176	0.853	-92	0.65	-864	0.586	1698
0.738	-32	0.881	184	0.666	-984	0.614	1724
0.76	-24	0.903	176	0.705	-1080	0.641	1753
0.773	-24	0.931	72	0.736	-1052	0.67	1784
0.783	-20	0.954	140	0.76	-980	0.697	1812
0.8	-28	0.985	108	0.791	-932	0.731	1842
0.825	-16	1.014	80	0.818	-996	0.756	1867
0.838	-16	1.049	80	0.833	-768	0.781	1896
0.843	-20	1.079	72	0.866	-916	0.802	1920
0.852	-12	1.1	20	0.9	-752	0.831	1944
0.87	-16	1.123	48	0.923	4	0.864	1974
0.892	-8	1.149	44	0.939	-200	0.887	2004
0.921	4	1.18	56	0.989	72	0.953	2063
2.181	-48	1.2	64	1.059	600	0.981	2088
2.209	-56	1.263	92	1.12	576	1.03	2141
2.24	-48	1.289	24	1.168	976	1.055	2165
